Open,High,Low,Close,Adj Close,Volume
133.990005,137.339996,133.509995,136.690002,135.852509,124486200
138.050003,138.789993,134.339996,134.869995,134.043655,121047300
135.580002,135.990005,133.399994,133.720001,132.900711,96452100
134.080002,134.740005,131.720001,132.690002,131.877014,99116600
133.520004,133.610001,126.760002,129.410004,128.617111,143301900
128.889999,131.740005,128.429993,131.009995,130.207291,97664900
127.720001,131.050003,126.379997,126.599998,125.824326,155088000
128.360001,131.630005,127.860001,130.919998,130.117859,109578200
132.429993,132.630005,130.229996,132.050003,131.240936,105158200
129.190002,130.169998,128.5,128.979996,128.189728,100384500
128.5,129.690002,126.860001,128.800003,128.010834,91951100
128.759995,131.449997,128.490005,130.889999,130.088043,88636800
130.800003,131,128.759995,128.910004,128.120178,90221800
128.779999,130.220001,127,127.139999,126.361023,111598500
127.779999,128.710007,126.940002,127.830002,127.046783,90757300
128.660004,132.490005,128.550003,132.029999,131.221054,104319500
133.800003,139.669998,133.589996,136.869995,136.031387,120150900
136.279999,139.850006,135.020004,139.070007,138.217926,114459400
143.070007,145.089996,136.539993,142.919998,142.044327,157611700
143.600006,144.300003,141.369995,143.160004,142.282852,98390600
143.429993,144.300003,140.410004,142.059998,141.18959,140843800
139.520004,141.990005,136.699997,137.089996,136.250031,142621100
135.830002,136.740005,130.210007,131.960007,131.151489,177523800
133.75,135.380005,130.929993,134.139999,133.31813,106239800
135.729996,136.309998,134.610001,134.990005,134.162918,83305400
135.759995,135.770004,133.610001,133.940002,133.119339,89880900
136.300003,137.399994,134.589996,137.389999,136.548218,84183100
137.350006,137.419998,135.860001,136.759995,136.125183,75693800
136.029999,136.960007,134.919998,136.910004,136.27449,71297200
136.619995,137.880005,135.850006,136.009995,135.378647,76774200
136.479996,136.990005,134.399994,135.389999,134.761551,73046600
135.899994,136.389999,133.770004,135.130005,134.502731,64280000
134.350006,135.529999,133.690002,135.369995,134.741623,60145100
135.490005,136.009995,132.789993,133.190002,132.571747,80576300
131.25,132.220001,129.470001,130.839996,130.232651,97918500
129.199997,130,127.410004,129.710007,129.10791,96856700
